state,sa2_code,sa2_name,unemployment_rate,unemployed_persons,labour_force
Western Australia,503021296,Perth (North) - Highgate,6.6,650,9837
Western Australia,503021297,Perth (West) - Northbridge,9.1,1047,11475
Western Australia,504011044,Bassendean - Eden Hill - Ashfield,3.9,409,10500
Western Australia,504011045,Bayswater - Embleton - Bedford,2.8,468,16869
Western Australia,504011046,Maylands,3.5,379,10816
Western Australia,504011047,Morley,3.6,530,14857
Western Australia,504011048,Noranda,2.8,136,4874
Western Australia,504021049,Chidlow,2.8,52,1868
Western Australia,504021050,Glen Forrest - Darlington,1.5,68,4589
Western Australia,504021051,Helena Valley - Koongamia,2.9,110,3780
Western Australia,504021053,Mundaring,2.0,162,8296
Western Australia,504021054,Swan View - Greenmount - Midvale,5.5,450,8139
Western Australia,504031056,Ballajura,5.3,620,11700
Western Australia,504031057,Beechboro,4.4,653,14962
Western Australia,504031058,Bullsbrook,3.0,123,4089
Western Australia,504031060,Gidgegannup,1.7,33,1952
Western Australia,504031061,Hazelmere - Guildford,2.2,95,4365
Western Australia,504031062,Lockridge - Kiara,5.1,430,8512
Western Australia,504031065,Middle Swan - Herne Hill,5.4,201,3692
Western Australia,504031066,Midland - Guildford,8.0,564,7084
Western Australia,504031067,Stratton - Jane Brook,4.9,230,4721
Western Australia,504031068,The Vines,3.2,298,9224
Western Australia,504031298,Aveley,2.2,271,12247
Western Australia,504031299,Brabham - Henley Brook,3.2,322,10177
Western Australia,504031300,Ellenbrook,5.3,664,12601
Western Australia,505011070,Craigie - Beldon,4.3,304,7070
Western Australia,505011071,Currambine - Kinross,2.6,247,9447
Western Australia,505011072,Duncraig,1.7,164,9714
Western Australia,505011073,Greenwood - Warwick,3.3,283,8623
Western Australia,505011074,Heathridge - Connolly,3.6,254,7116
Western Australia,505011075,Hillarys,1.5,105,7117
Western Australia,505011076,Iluka - Burns Beach,1.2,88,7093
Western Australia,505011077,Joondalup - Edgewater,4.1,391,9525
Western Australia,505011078,Kingsley,2.2,173,7695
Western Australia,505011079,Mullaloo - Kallaroo,1.6,124,7573
